lambda_0.1,lambda_0.2,lambda_0.3,lambda_0.4,lambda_0.5,lambda_0.6,lambda_0.7,lambda_0.8,lambda_0.9,lambda_1.0
5.448,8.045,9.718,11.582,12.827,14.457,15.015,17.196,17.483,18.445
5.46,8.044,9.747,11.567,12.906,14.474,15.048,17.242,17.498,18.502
5.485,8.085,9.738,11.601,12.931,14.47,15.093,17.267,17.493,18.596
5.488,8.098,9.749,11.642,12.954,14.509,15.179,17.299,17.587,18.641
5.49,8.107,9.783,11.646,12.977,14.518,15.234,17.364,17.604,18.694
5.514,8.09,9.828,11.677,13.02,14.604,15.301,17.398,17.651,18.695
5.522,8.095,9.842,11.718,13.039,14.613,15.317,17.409,17.689,18.755
5.539,8.105,9.807,11.681,13.102,14.611,15.381,17.4,17.68,18.829
5.545,8.139,9.833,11.75,13.101,14.58,15.403,17.435,17.812,18.859
5.55,8.16,9.828,11.782,13.1,14.607,15.524,17.436,17.86,18.933
5.571,8.203,9.883,11.783,13.108,14.626,15.609,17.44,17.866,18.964
5.564,8.193,9.893,11.791,13.14,14.643,15.569,17.454,17.913,19.004
5.566,8.206,9.913,11.788,13.114,14.654,15.637,17.438,17.884,19.013
5.59,8.213,9.93,11.842,13.108,14.666,15.687,17.502,17.872,19.089
5.572,8.261,9.924,11.837,13.16,14.732,15.672,17.598,17.892,19.058
5.586,8.264,9.94,11.897,13.126,14.717,15.717,17.621,17.93,19.129
5.602,8.289,9.962,11.894,13.196,14.76,15.737,17.696,17.996,19.182
5.618,8.307,9.979,11.937,13.198,14.733,15.716,17.689,18.009,19.261
5.635,8.317,10.052,11.898,13.16,14.782,15.731,17.653,18.004,19.307
5.649,8.303,10.077,11.904,13.189,14.771,15.763,17.699,18.044,19.31
5.645,8.309,10.101,11.92,13.224,14.774,15.794,17.737,18.071,19.337
5.637,8.334,10.122,11.911,13.292,14.812,15.85,17.668,18.131,19.389
5.643,8.356,10.096,11.911,13.311,14.902,15.917,17.706,18.134,19.476
5.636,8.348,10.145,11.943,13.365,14.923,15.967,17.725,18.163,19.535
5.662,8.364,10.174,11.958,13.39,14.942,15.955,17.801,18.2,19.533
5.672,8.377,10.198,11.974,13.408,14.956,15.997,17.822,18.243,19.54
5.68,8.402,10.213,11.978,13.457,14.986,16.051,17.862,18.2,19.64
5.698,8.422,10.226,12.042,13.471,15.041,16.05,17.917,18.268,19.654
5.716,8.456,10.278,12.089,13.454,15.092,16.021,17.952,18.291,19.704
5.713,8.47,10.335,12.164,13.47,15.121,16.05,18.047,18.322,19.701
5.719,8.498,10.378,12.164,13.505,15.144,16.088,18.087,18.281,19.726
5.734,8.506,10.419,12.193,13.503,15.151,16.184,18.162,18.273,19.691
5.721,8.469,10.434,12.19,13.547,15.13,16.128,18.195,18.262,19.726
5.722,8.475,10.461,12.238,13.577,15.209,16.179,18.196,18.24,19.711
5.731,8.462,10.526,12.279,13.565,15.152,16.191,18.287,18.324,19.801
5.746,8.475,10.551,12.331,13.589,15.19,16.177,18.363,18.345,19.858
5.739,8.501,10.593,12.343,13.604,15.156,16.217,18.326,18.419,19.91
5.744,8.501,10.582,12.337,13.684,15.176,16.268,18.369,18.483,19.939
5.753,8.507,10.604,12.398,13.697,15.171,16.332,18.395,18.469,19.976
5.758,8.501,10.585,12.42,13.696,15.139,16.396,18.453,18.486,19.963
5.761,8.485,10.614,12.427,13.656,15.134,16.373,18.514,18.557,19.991
5.785,8.482,10.616,12.468,13.636,15.155,16.358,18.595,18.619,20.028
5.807,8.505,10.656,12.497,13.596,15.22,16.404,18.714,18.721,20.005
5.786,8.514,10.716,12.502,13.656,15.287,16.444,18.69,18.758,20.11
5.775,8.538,10.72,12.474,13.64,15.324,16.541,18.722,18.761,20.169
5.777,8.585,10.734,12.458,13.616,15.347,16.6,18.802,18.777,20.259
5.78,8.581,10.762,12.507,13.609,15.367,16.585,18.871,18.852,20.34
5.784,8.61,10.776,12.505,13.588,15.377,16.589,18.922,18.868,20.334
5.819,8.632,10.825,12.535,13.598,15.443,16.602,18.966,18.935,20.361
5.842,8.677,10.88,12.55,13.591,15.402,16.578,18.959,18.96,20.422
5.838,8.65,10.883,12.547,13.602,15.42,16.536,18.993,18.985,20.423
5.837,8.669,10.908,12.61,13.62,15.416,16.549,19.012,19.021,20.448
5.836,8.681,10.938,12.614,13.676,15.451,16.532,19.044,19.106,20.436
5.831,8.714,10.999,12.629,13.671,15.439,16.582,19.123,19.153,20.504
5.822,8.738,10.997,12.649,13.636,15.437,16.633,19.173,19.168,20.562
5.849,8.754,11.023,12.637,13.653,15.498,16.665,19.108,19.159,20.644
5.838,8.778,11.024,12.626,13.663,15.541,16.695,19.091,19.236,20.622
5.835,8.761,11.067,12.681,13.659,15.564,16.777,19.111,19.237,20.596
5.882,8.791,11.1,12.74,13.702,15.513,16.786,19.157,19.247,20.527
5.894,8.809,11.102,12.768,13.765,15.538,16.811,19.206,19.279,20.539
5.913,8.838,11.107,12.777,13.771,15.607,16.89,19.184,19.349,20.551
5.951,8.851,11.054,12.801,13.847,15.607,16.861,19.189,19.375,20.609
5.969,8.867,11.058,12.823,13.831,15.666,16.915,19.221,19.411,20.668
5.986,8.885,11.035,12.819,13.816,15.742,16.925,19.227,19.459,20.7
5.993,8.894,11.052,12.857,13.815,15.753,17.001,19.24,19.485,20.773
6.017,8.907,11.076,12.845,13.802,15.786,17.054,19.333,19.472,20.808
