lambda_0.1,lambda_0.2,lambda_0.3,lambda_0.4,lambda_0.5,lambda_0.6,lambda_0.7,lambda_0.8,lambda_0.9,lambda_1.0
32.684,45.342,55.398,62.97,72.063,74.456,80.411,89.985,94.228,100.525
32.659,45.383,55.482,62.968,72.093,74.473,80.43,89.991,94.189,100.60099999999998
32.668,45.354,55.478,62.967,72.027,74.44,80.481,89.971,94.203,100.612
32.669,45.325,55.463,63.01,72.027,74.473,80.475,89.973,94.246,100.604
32.67,45.371,55.506,62.985,72.018,74.487,80.459,89.987,94.299,100.589
32.676,45.37,55.52,62.981,72.013,74.471,80.409,90.013,94.291,100.649
32.669,45.349,55.486,62.999,72.036,74.507,80.34,90.05,94.307,100.639
32.677,45.349,55.465,62.993,72.061,74.538,80.346,90.081,94.283,100.674
32.684,45.34,55.453,62.971,72.074,74.548,80.357,90.123,94.313,100.665
32.699,45.368,55.49,62.923,72.06,74.568,80.392,90.072,94.303,100.669
32.7,45.359,55.477,62.915,72.061,74.572,80.439,90.102,94.303,100.69
32.677,45.356,55.472,62.903,72.047,74.608,80.437,90.108,94.34000000000002,100.753
32.691,45.335,55.515,62.876,72.046,74.564,80.432,90.14,94.356,100.79
32.692,45.34,55.505,62.864,72.115,74.566,80.437,90.151,94.321,100.83
32.678,45.344,55.549,62.878,72.141,74.519,80.488,90.143,94.278,100.814
32.667,45.354,55.551,62.91,72.104,74.513,80.445,90.131,94.281,100.788
32.647,45.337,55.559,62.928,72.106,74.497,80.493,90.155,94.225,100.78
32.644,45.353,55.574,62.927,72.082,74.542,80.508,90.245,94.141,100.789
32.635,45.35,55.586,62.963,72.098,74.583,80.521,90.264,94.075,100.739
32.645,45.324,55.569,62.961,72.094,74.609,80.436,90.281,94.08,100.741
32.639,45.33,55.566,62.954,72.053,74.676,80.457,90.295,94.068,100.784
32.662,45.333,55.581,62.93,72.022,74.671,80.458,90.299,94.036,100.796
32.652,45.357,55.602,62.952,71.998,74.663,80.492,90.252,94.065,100.834
32.668,45.382,55.606,63.013,71.983,74.739,80.545,90.226,94.056,100.813
32.688,45.417,55.583,63.057,71.961,74.756,80.548,90.205,94.045,100.91399999999999
32.708,45.431,55.563,63.088,72.002,74.721,80.534,90.202,94.029,100.984
32.709,45.453,55.526,63.081,72.036,74.711,80.538,90.132,94.084,100.97099999999999
32.728,45.447,55.55,63.021,72.003,74.633,80.576,90.135,94.108,100.993
32.745,45.467,55.54,63.058,72.006,74.629,80.532,90.119,94.2,100.942
32.748,45.441,55.6,63.04,71.989,74.606,80.503,90.147,94.184,101.045
32.732,45.419,55.584,63.039,71.996,74.66,80.574,90.162,94.155,101.043
32.719,45.428,55.576,63.05,72.058,74.647,80.542,90.161,94.191,101.04400000000001
32.701,45.436,55.589,63.024,72.101,74.697,80.506,90.202,94.189,101.061
32.69,45.421,55.56,62.966,72.133,74.725,80.562,90.259,94.272,101.079
32.705,45.405,55.576,63.001,72.168,74.642,80.528,90.332,94.269,101.13
32.712,45.438,55.582,63.001,72.213,74.603,80.472,90.329,94.302,101.18600000000002
32.723,45.442,55.552,63.026,72.259,74.62,80.453,90.318,94.257,101.211
32.714,45.477,55.541,63.027,72.226,74.596,80.475,90.299,94.283,101.144
32.731,45.457,55.537,63.032,72.228,74.572,80.53,90.303,94.282,101.179
32.762,45.457,55.582,63.042,72.256,74.569,80.516,90.274,94.243,101.238
32.767,45.46,55.556,63.02,72.249,74.599,80.535,90.286,94.279,101.312
32.744,45.458,55.548,62.995,72.232,74.579,80.556,90.298,94.234,101.253
32.754,45.438,55.5,63.007,72.224,74.597,80.535,90.313,94.235,101.289
32.75,45.478,55.486,63.007,72.25,74.583,80.504,90.272,94.182,101.315
32.742,45.514,55.488,63.016,72.232,74.604,80.437,90.342,94.13,101.274
32.763,45.506,55.537,63.061,72.266,74.553,80.366,90.343,94.111,101.241
32.77,45.523,55.56,63.021,72.312,74.561,80.361,90.371,94.102,101.334
32.791,45.526,55.515,62.998,72.323,74.565,80.409,90.324,94.132,101.326
32.79,45.511,55.514,62.943,72.343,74.651,80.473,90.354,94.093,101.32
32.807,45.506,55.508,62.997,72.307,74.694,80.509,90.405,94.091,101.283
32.819,45.482,55.523,63.007,72.331,74.702,80.458,90.402,94.021,101.33
32.817,45.489,55.516,63.043,72.305,74.727,80.401,90.401,93.987,101.36800000000001
32.81,45.507,55.506,63.058,72.347,74.73,80.371,90.369,94.109,101.329
32.823,45.504,55.47,63.067,72.343,74.776,80.39,90.483,94.204,101.326
32.831,45.525,55.479,63.1,72.352,74.766,80.399,90.462,94.116,101.40100000000001
32.813,45.492,55.472,63.111,72.38,74.815,80.371,90.515,94.121,101.36
32.822,45.541,55.472,63.061,72.388,74.858,80.381,90.515,94.073,101.388
32.816,45.562,55.508,63.085,72.437,74.863,80.353,90.496,94.08400000000002,101.37899999999999
32.793,45.553,55.511,63.075,72.417,74.947,80.376,90.499,94.107,101.449
32.815,45.546,55.538,63.096,72.382,74.968,80.363,90.56,94.089,101.49200000000002
32.827,45.52,55.56,63.071,72.337,75.039,80.338,90.53,94.11400000000002,101.445
32.842,45.477,55.579,63.042,72.294,75.026,80.35,90.486,94.086,101.39
32.854,45.522,55.594,63.06,72.293,75.087,80.366,90.429,94.133,101.423
32.864,45.559,55.581,63.02,72.239,75.024,80.39,90.418,94.24,101.455
32.876,45.543,55.563,63.069,72.239,75.053,80.364,90.356,94.201,101.404
32.868,45.518,55.527,63.032,72.239,75.062,80.322,90.301,94.191,101.409
32.878,45.495,55.523,63.053,72.259,75.141,80.317,90.387,94.201,101.394
32.889,45.522,55.543,63.051,72.309,75.12,80.359,90.377,94.227,101.401
32.885,45.523,55.568,63.049,72.339,75.133,80.399,90.354,94.266,101.31
32.869,45.551,55.547,62.986,72.35,75.104,80.424,90.428,94.228,101.30100000000003
32.873,45.547,55.548,62.989,72.34,75.119,80.407,90.395,94.28,101.313
32.869,45.564,55.538,62.964,72.334,75.132,80.406,90.397,94.276,101.297
32.872,45.581,55.56,62.99,72.29,75.183,80.466,90.381,94.335,101.276
32.878,45.591,55.592,62.996,72.36,75.148,80.48,90.367,94.238,101.248
32.862,45.583,55.626,62.998,72.359,75.142,80.5,90.458,94.29,101.291
32.857,45.596,55.574,63.007,72.369,75.127,80.503,90.47,94.298,101.341
32.889,45.587,55.536,62.979,72.461,75.167,80.522,90.506,94.26899999999999,101.36800000000001
32.898,45.627,55.507,62.978,72.485,75.199,80.488,90.487,94.253,101.413
32.884,45.607,55.503,62.991,72.561,75.227,80.461,90.47,94.265,101.368
32.879,45.604,55.494,62.963,72.581,75.22,80.464,90.466,94.312,101.388
32.879,45.58,55.513,62.944,72.633,75.193,80.451,90.48,94.273,101.405
32.867,45.602,55.524,62.974,72.68,75.196,80.447,90.525,94.253,101.37900000000002
32.853,45.614,55.463,63.024,72.73,75.156,80.456,90.5,94.214,101.426
32.86,45.65,55.442,62.99,72.779,75.183,80.451,90.493,94.318,101.418
32.868,45.678,55.451,63.045,72.759,75.203,80.475,90.561,94.264,101.359
32.886,45.703,55.402,63.057,72.731,75.174,80.437,90.583,94.26,101.343
32.9,45.682,55.369,63.103,72.778,75.161,80.435,90.645,94.33,101.343
32.895,45.688,55.37,63.089,72.834,75.17,80.459,90.709,94.34,101.376
32.897,45.69,55.377,63.103,72.837,75.172,80.518,90.716,94.394,101.355
32.877,45.729,55.378,63.115,72.878,75.188,80.54,90.744,94.362,101.348
32.866,45.709,55.366,63.111,72.938,75.131,80.53,90.715,94.29899999999999,101.271
32.852,45.71,55.39,63.097,72.921,75.161,80.588,90.838,94.281,101.278
32.849,45.728,55.432,63.083,72.951,75.186,80.617,90.839,94.327,101.299
32.828,45.723,55.419,63.073,72.913,75.16,80.626,90.9,94.38,101.316
32.835,45.724,55.404,63.089,72.91,75.209,80.537,90.881,94.359,101.384
32.826,45.723,55.411,63.103,72.905,75.206,80.605,90.965,94.368,101.38
32.821,45.714,55.346,63.085,72.877,75.237,80.62,90.951,94.442,101.486
32.841,45.692,55.351,63.062,72.893,75.242,80.605,90.978,94.45,101.506
32.842,45.703,55.38,63.096,72.873,75.125,80.63,90.962,94.454,101.542
32.833,45.723,55.419,63.087,72.821,75.203,80.568,91.024,94.475,101.588
32.825,45.737,55.4,63.078,72.851,75.176,80.614,91.01,94.489,101.642
32.831,45.751,55.42,63.049,72.89,75.164,80.634,91.064,94.453,101.592
32.836,45.768,55.42,63.057,72.871,75.194,80.621,91.06,94.462,101.638
32.841,45.805,55.412,63.106,72.888,75.162,80.587,91.012,94.468,101.655
32.844,45.802,55.424,63.089,72.858,75.126,80.596,91.031,94.517,101.57299999999998
32.856,45.789,55.421,63.124,72.887,75.136,80.614,91.011,94.504,101.5
32.859,45.777,55.417,63.098,72.91,75.073,80.565,90.998,94.521,101.46
32.86,45.778,55.453,63.078,72.886,75.097,80.577,91.022,94.446,101.446
32.886,45.794,55.451,63.067,72.929,75.064,80.552,91.058,94.385,101.47100000000002
32.892,45.817,55.444,63.097,72.907,75.089,80.577,91.086,94.311,101.396
32.88,45.823,55.436,63.078,72.913,75.097,80.559,91.067,94.403,101.372
32.882,45.799,55.427,63.118,72.898,75.062,80.605,91.042,94.411,101.36699999999999
32.894,45.832,55.392,63.133,72.881,75.067,80.556,91.07,94.43,101.442
32.9,45.82,55.381,63.102,72.873,75.09,80.477,91.031,94.459,101.475
32.914,45.849,55.347,63.077,72.949,75.123,80.511,90.934,94.45,101.467
32.927,45.865,55.326,63.094,72.886,75.133,80.597,90.901,94.485,101.407
32.902,45.859,55.304,63.092,72.923,75.085,80.587,90.867,94.45,101.394
32.915,45.852,55.342,63.101,72.927,75.096,80.595,90.836,94.519,101.449
32.933,45.836,55.322,63.099,72.923,75.052,80.642,90.776,94.494,101.498
32.948,45.861,55.284,63.124,72.904,75.022,80.625,90.783,94.467,101.506
32.931,45.892,55.269,63.109,72.914,75.038,80.715,90.74,94.546,101.56299999999999
32.912,45.871,55.277,63.135,72.917,75.031,80.741,90.775,94.589,101.609
32.915,45.88,55.301,63.127,72.868,75.037,80.745,90.797,94.582,101.514
32.924,45.878,55.287,63.147,72.92,75.059,80.766,90.854,94.63,101.465
32.951,45.87,55.295,63.199,72.882,75.059,80.751,90.872,94.697,101.416
32.939,45.84,55.291,63.223,72.888,75.093,80.713,90.842,94.71,101.409
32.942,45.857,55.296,63.294,72.934,75.093,80.766,90.875,94.686,101.319
32.937,45.892,55.303,63.313,72.926,75.073,80.72,90.87,94.774,101.38
32.939,45.935,55.307,63.328,72.946,75.095,80.778,90.822,94.745,101.405
32.938,45.934,55.246,63.354,72.918,75.076,80.797,90.793,94.751,101.434
32.927,45.923,55.272,63.385,72.9,75.05,80.794,90.769,94.712,101.481
32.922,45.92,55.278,63.419,72.951,75.056,80.738,90.829,94.814,101.494
32.918,45.902,55.314,63.441,72.936,75.047,80.727,90.895,94.794,101.494
32.954,45.904,55.281,63.423,72.952,75.007,80.765,90.933,94.764,101.503
32.955,45.908,55.313,63.407,73.002,74.953,80.727,90.938,94.742,101.45
32.957,45.926,55.309,63.421,72.934,74.966,80.73,90.932,94.726,101.458
32.96,45.92,55.305,63.475,72.965,74.931,80.716,90.945,94.703,101.44
32.976,45.939,55.291,63.464,72.988,74.891,80.721,90.937,94.768,101.475
32.958,45.929,55.313,63.519,73.01,74.876,80.759,90.927,94.761,101.465
32.963,45.918,55.339,63.503,73.002,74.916,80.706,90.926,94.768,101.544
32.98,45.903,55.326,63.487,73.005,74.919,80.717,90.996,94.77,101.549
32.976,45.876,55.317,63.489,73.057,74.889,80.801,90.988,94.806,101.612
32.988,45.844,55.35,63.52,72.964,74.927,80.77,90.963,94.739,101.642
33.01,45.875,55.34,63.527,72.935,74.941,80.712,90.963,94.809,101.66
33.006,45.836,55.355,63.549,72.964,74.967,80.656,90.879,94.823,101.648
33.005,45.823,55.346,63.484,72.951,74.954,80.703,90.9,94.861,101.677
33.013,45.813,55.33,63.474,72.96,74.955,80.657,90.884,94.875,101.61300000000001
33.019,45.828,55.315,63.457,72.959,74.936,80.57,90.868,94.894,101.606
33.029,45.845,55.333,63.489,72.97,74.899,80.552,90.888,94.883,101.683
33.022,45.842,55.349,63.489,72.988,74.945,80.517,90.881,94.845,101.695
33.029,45.833,55.357,63.501,72.996,74.942,80.548,90.886,94.89,101.748
33.042,45.813,55.306,63.473,73.024,74.91,80.533,90.94,94.83,101.772
33.034,45.805,55.252,63.502,72.992,74.919,80.499,90.932,94.869,101.735
33.025,45.813,55.276,63.518,72.951,74.954,80.491,90.96,94.945,101.782
33.034,45.817,55.275,63.592,72.931,74.961,80.477,90.944,94.957,101.808
33.016,45.804,55.303,63.564,72.933,74.959,80.56,91.045,94.927,101.762
33.014,45.824,55.3,63.61,72.952,74.933,80.564,91.023,94.997,101.657
32.997,45.811,55.294,63.561,72.957,74.921,80.544,91.065,95.009,101.624
33.011,45.796,55.289,63.505,72.97,74.959,80.481,91.052,95.075,101.685
33.01,45.787,55.276,63.486,72.952,74.993,80.481,91.104,95.025,101.718
33.008,45.77,55.258,63.462,72.922,74.979,80.532,91.108,95.071,101.752
33.038,45.797,55.208,63.48,72.926,74.953,80.577,91.108,95.088,101.75899999999999
33.053,45.798,55.175,63.506,72.88,74.997,80.58,91.124,95.067,101.731
33.059,45.833,55.165,63.535,72.856,74.998,80.591,91.02,94.988,101.738
33.055,45.814,55.145,63.523,72.833,75.043,80.561,90.985,94.958,101.764
33.058,45.807,55.119,63.548,72.812,75.043,80.58,90.971,94.964,101.71
33.042,45.801,55.128,63.568,72.857,75.026,80.552,90.985,94.936,101.7
33.042,45.763,55.119,63.567,72.871,75.028,80.542,90.981,94.964,101.701
33.055,45.774,55.122,63.575,72.867,75.063,80.492,90.944,94.97,101.73
33.021,45.76,55.101,63.558,72.86700000000002,75.018,80.558,90.961,95.02100000000002,101.754
33.024,45.738,55.094,63.589,72.858,75.038,80.547,91.051,95.039,101.751
33.019,45.756,55.127,63.556,72.841,75.072,80.515,91.052,94.999,101.741
33.031,45.782,55.149,63.553,72.917,75.116,80.511,90.989,95.05,101.801
33.051,45.799,55.205,63.629,72.942,75.074,80.544,90.957,95.044,101.894
33.067,45.811,55.158,63.677,72.914,75.058,80.558,90.968,95.055,101.917
33.082,45.815,55.171,63.677,72.927,75.066,80.553,90.998,95.112,101.887
33.103,45.816,55.172,63.673,72.939,75.042,80.559,90.995,95.127,101.871
33.129,45.821,55.138,63.699,72.969,75.05,80.498,91.042,95.183,101.81199999999998
33.118,45.812,55.161,63.712,72.991,75.051,80.534,91.063,95.233,101.825
33.125,45.807,55.144,63.712,72.984,75.101,80.534,91.033,95.188,101.813
33.144,45.839,55.157,63.745,72.979,75.115,80.585,91.038,95.227,101.785
33.153,45.799,55.147,63.75,72.957,75.151,80.596,91.062,95.271,101.781
33.129,45.799,55.162,63.772,72.992,75.13,80.666,91.077,95.32,101.722
33.129,45.79,55.143,63.807,72.95,75.137,80.685,91.096,95.322,101.669
33.127,45.848,55.095,63.808,72.948,75.143,80.716,91.096,95.296,101.665
33.128,45.857,55.047,63.802,72.944,75.167,80.737,91.043,95.315,101.678
33.112,45.814,55.047,63.804,72.961,75.191,80.749,91.034,95.317,101.699
33.126,45.827,55.026,63.823,72.975,75.129,80.739,90.999,95.321,101.694
33.114,45.789,55.102,63.81,73.038,75.071,80.761,90.989,95.332,101.74
33.141,45.811,55.103,63.799,72.967,75.137,80.77,90.988,95.373,101.717
33.149,45.809,55.136,63.8,72.991,75.157,80.804,91.005,95.467,101.656
33.141,45.803,55.142,63.801,73.011,75.191,80.85,90.998,95.443,101.667
33.153,45.771,55.121,63.791,72.979,75.222,80.892,91.007,95.407,101.67
33.15,45.73,55.124,63.755,72.979,75.187,80.883,91.001,95.381,101.665
33.15,45.745,55.113,63.779,72.963,75.155,80.843,91.08,95.378,101.676
33.179,45.733,55.08,63.778,72.975,75.191,80.771,91.085,95.336,101.735
33.171,45.742,55.061,63.79,72.987,75.2,80.703,90.984,95.391,101.756
33.169,45.732,55.07,63.801,73.001,75.165,80.681,91.033,95.391,101.709
33.144,45.766,55.056,63.81,72.992,75.181,80.713,91.021,95.404,101.727
33.127,45.75,55.124,63.811,73.018,75.17,80.702,91.037,95.387,101.757
33.123,45.768,55.076,63.813,73.019,75.109,80.74,91.073,95.381,101.663
33.123,45.783,55.043,63.855,73.005,75.094,80.75,91.104,95.389,101.681
33.131,45.773,55.05,63.885,73.041,75.089,80.823,91.07,95.383,101.64200000000001
33.146,45.791,55.041,63.873,73.042,75.111,80.772,91.086,95.392,101.51
33.155,45.781,55.056,63.9,72.966,75.15,80.807,91.035,95.394,101.479
33.161,45.781,55.032,63.902,73.003,75.138,80.788,91.058,95.435,101.476
33.135,45.786,54.982,63.918,72.971,75.183,80.82,91.056,95.412,101.46
33.147,45.762,54.992,63.918,72.946,75.192,80.784,91.055,95.43,101.458
33.149,45.772,54.984,63.904,72.979,75.217,80.778,91.027,95.395,101.422
33.148,45.806,54.958,63.866,72.97,75.209,80.784,91.093,95.402,101.486
33.141,45.867,54.949,63.889,72.979,75.233,80.847,90.983,95.452,101.482
33.148,45.889,54.93,63.933,72.989,75.256,80.874,91.03,95.437,101.528
33.152,45.883,54.961,63.895,73.004,75.286,80.872,91.007,95.447,101.533
33.132,45.9,54.974,63.908,73.039,75.298,80.853,91.002,95.372,101.592
33.112,45.892,54.966,63.915,73.019,75.329,80.896,91.011,95.368,101.634
33.099,45.87,55.004,63.903,73.053,75.302,80.893,91.009,95.371,101.664
33.088,45.871,55.027,63.907,73.016,75.311,80.821,90.995,95.337,101.734
33.097,45.87,55.019,63.866,73.064,75.334,80.8,91.04,95.32,101.818
33.118,45.867,55.036,63.878,73.072,75.314,80.825,91.032,95.271,101.841
33.121,45.849,55.051,63.821,73.035,75.287,80.887,91.074,95.226,101.825
33.119,45.846,55.026,63.814,73.065,75.354,80.898,91.113,95.244,101.785
33.121,45.859,55.027,63.771,73.081,75.385,80.905,91.138,95.281,101.818
33.103,45.863,55.055,63.794,73.087,75.422,80.892,91.158,95.327,101.796
33.1,45.876,55.091,63.757,73.143,75.37,80.931,91.182,95.386,101.865
33.102,45.864,55.106,63.768,73.211,75.314,80.918,91.133,95.401,101.842
33.098,45.917,55.096,63.783,73.232,75.34,80.937,91.126,95.369,101.904
33.108,45.919,55.086,63.756,73.262,75.417,80.973,91.096,95.388,101.874
33.099,45.895,55.092,63.748,73.267,75.392,80.962,91.109,95.402,101.842
33.111,45.908,55.104,63.764,73.256,75.408,80.954,91.106,95.372,101.76
33.113,45.891,55.153,63.79,73.26,75.422,80.941,91.121,95.323,101.711
33.102,45.918,55.155,63.769,73.303,75.362,80.971,91.141,95.247,101.674
33.12,45.884,55.148,63.799,73.319,75.348,80.944,91.217,95.26,101.716
33.103,45.858,55.108,63.869,73.306,75.338,80.969,91.241,95.25,101.751
33.106,45.878,55.156,63.832,73.307,75.299,80.944,91.234,95.295,101.679
33.081,45.885,55.132,63.81,73.29,75.327,80.924,91.23,95.327,101.674
33.096,45.939,55.101,63.828,73.285,75.323,80.927,91.229,95.398,101.73
33.102,45.941,55.08,63.839,73.32,75.31,80.965,91.22,95.403,101.798
33.113,45.963,55.068,63.89,73.309,75.31,80.948,91.243,95.36,101.814
33.1,45.965,55.018,63.83,73.293,75.27,81.008,91.331,95.386,101.855
33.107,45.975,55.011,63.843,73.334,75.23,81.018,91.353,95.393,101.819
33.114,45.983,54.992,63.825,73.321,75.263,81.054,91.412,95.334,101.845
33.127,45.979,54.967,63.796,73.289,75.232,81.024,91.442,95.331,101.812
33.096,46.028,54.976,63.819,73.303,75.293,80.998,91.391,95.319,101.838
33.089,45.99,54.959,63.804,73.317,75.341,81.046,91.386,95.366,101.832
33.099,45.983,54.968,63.752,73.283,75.298,81.013,91.463,95.417,101.827
33.103,45.973,54.955,63.745,73.306,75.293,80.978,91.487,95.435,101.86699999999999
33.101,45.934,54.965,63.756,73.334,75.292,80.966,91.523,95.389,101.841
33.09,45.93,55.026,63.76,73.347,75.287,80.996,91.532,95.427,101.86
33.076,45.938,55.028,63.782,73.338,75.301,80.988,91.538,95.389,101.886
33.081,45.969,55.05,63.804,73.3,75.335,81.012,91.571,95.431,101.829
33.083,45.951,55.072,63.777,73.306,75.369,81.018,91.645,95.437,101.849
33.077,45.947,55.111,63.805,73.317,75.341,81.019,91.665,95.502,101.85
33.076,45.941,55.119,63.815,73.361,75.331,81.051,91.62,95.493,101.778
33.078,45.931,55.078,63.801,73.42,75.297,81.053,91.599,95.44,101.823
33.078,45.938,55.088,63.839,73.46400000000001,75.267,81.007,91.621,95.484,101.824
33.109,45.915,55.063,63.815,73.42600000000002,75.37,81.078,91.663,95.508,101.814
33.108,45.9,55.083,63.833,73.436,75.414,81.075,91.661,95.468,101.839
33.118,45.896,55.052,63.87,73.436,75.499,81.079,91.69,95.508,101.861
33.107,45.884,55.076,63.872,73.498,75.504,81.129,91.738,95.462,101.813
33.101,45.886,55.124,63.879,73.525,75.481,81.151,91.726,95.40299999999999,101.748
33.087,45.87,55.128,63.911,73.491,75.48,81.12,91.763,95.37699999999998,101.71499999999999
33.103,45.879,55.101,63.92,73.492,75.446,81.194,91.806,95.39,101.802
33.097,45.905,55.073,63.925,73.573,75.476,81.148,91.849,95.35,101.855
33.102,45.906,55.078,63.916,73.518,75.511,81.174,91.825,95.407,101.848
33.105,45.88,55.072,63.948,73.519,75.516,81.163,91.866,95.467,101.868
33.106,45.92,55.047,64.012,73.458,75.51,81.173,91.885,95.444,101.887
33.111,45.933,55.038,63.988,73.425,75.518,81.197,91.941,95.493,101.894
33.104,45.965,55.01,64.012,73.438,75.534,81.228,91.966,95.517,101.871
33.085,45.951,55.021,64.038,73.482,75.507,81.259,91.943,95.597,101.886
33.065,45.946,55.018,64.056,73.514,75.603,81.291,92.007,95.671,101.875
33.057,45.954,55.019,64.054,73.515,75.615,81.296,92.06,95.709,101.828
33.05,45.939,55.003,64.05,73.505,75.63,81.274,92.111,95.702,101.802
33.034,45.917,54.986,64.07,73.538,75.625,81.262,92.174,95.719,101.784
33.041,45.917,54.953,64.05,73.514,75.611,81.244,92.216,95.712,101.683
33.075,45.914,54.943,64.051,73.494,75.573,81.214,92.185,95.737,101.645
33.083,45.906,54.928,64.076,73.462,75.605,81.265,92.196,95.725,101.644
33.074,45.917,54.947,64.032,73.446,75.614,81.294,92.197,95.778,101.639
33.104,45.944,54.941,64.007,73.468,75.638,81.308,92.161,95.686,101.623
33.106,45.962,54.897,64.048,73.517,75.612,81.329,92.098,95.802,101.623
33.112,45.981,54.897,64.051,73.525,75.611,81.323,92.158,95.822,101.526
33.128,45.987,54.892,64.04,73.565,75.58,81.286,92.233,95.85,101.535
33.152,46.024,54.873,64.023,73.515,75.565,81.288,92.229,95.895,101.54
33.151,46.03,54.872,64.039,73.529,75.577,81.225,92.25,95.953,101.484
33.148,46.062,54.892,64.043,73.586,75.574,81.227,92.305,95.976,101.578
33.174,46.025,54.887,64.064,73.583,75.531,81.243,92.312,96.03,101.555
33.155,46.03,54.895,64.053,73.593,75.534,81.22,92.332,96.024,101.551
33.167,46.038,54.876,64.054,73.565,75.604,81.249,92.33,96.021,101.501
33.185,46.03,54.837,64.035,73.546,75.629,81.219,92.327,96.02,101.501
33.19,46.069,54.83,63.997,73.524,75.707,81.197,92.326,96.011,101.5
33.185,46.085,54.864,63.971,73.506,75.725,81.235,92.256,96.062,101.476
33.21,46.105,54.873,64.017,73.46,75.789,81.24,92.185,96.013,101.439
33.196,46.11,54.886,64.04,73.466,75.772,81.239,92.182,96.075,101.392
33.213,46.068,54.873,64.097,73.43,75.774,81.219,92.181,96.046,101.337
33.192,46.064,54.883,64.095,73.416,75.74,81.262,92.232,96.094,101.316
33.208,46.075,54.901,64.068,73.398,75.731,81.303,92.239,96.115,101.32
33.207,46.074,54.873,64.127,73.361,75.739,81.301,92.222,96.13899999999998,101.414
33.189,46.091,54.877,64.104,73.362,75.794,81.336,92.254,96.057,101.398
33.185,46.051,54.901,64.119,73.307,75.826,81.331,92.258,96.125,101.435
33.207,46.072,54.922,64.073,73.266,75.867,81.325,92.236,96.12,101.519
33.225,46.066,54.924,64.073,73.236,75.885,81.343,92.182,96.12,101.541
33.222,46.065,54.871,64.056,73.2,75.865,81.345,92.18,96.175,101.512
33.231,46.084,54.88,64.047,73.155,75.867,81.333,92.131,96.167,101.494
33.219,46.092,54.877,64.063,73.14,75.892,81.328,92.156,96.156,101.49
33.225,46.091,54.877,64.073,73.153,75.909,81.403,92.126,96.133,101.456
33.231,46.094,54.874,64.07,73.135,75.888,81.44,92.134,96.077,101.432
33.204,46.086,54.891,64.044,73.17,75.901,81.44,92.174,96.128,101.42
33.199,46.078,54.903,64.071,73.179,75.91,81.348,92.191,96.188,101.441
33.208,46.073,54.932,64.097,73.172,75.846,81.31,92.237,96.129,101.465
33.193,46.081,54.94,64.132,73.134,75.88,81.337,92.202,96.222,101.454
33.204,46.069,54.952,64.125,73.159,75.921,81.389,92.218,96.27,101.376
33.19,46.074,54.957,64.158,73.111,75.912,81.369,92.233,96.164,101.398
33.202,46.094,54.934,64.181,73.133,75.922,81.383,92.259,96.148,101.417
33.191,46.092,54.961,64.201,73.155,75.877,81.325,92.169,96.147,101.466
33.182,46.108,54.991,64.263,73.213,75.857,81.315,92.215,96.165,101.503
33.176,46.111,55.002,64.253,73.192,75.879,81.341,92.321,96.118,101.515
33.175,46.123,54.981,64.254,73.165,75.931,81.35,92.329,96.148,101.517
33.171,46.12,55.011,64.25,73.141,75.923,81.37,92.394,96.224,101.543
33.189,46.128,55.04,64.262,73.116,75.905,81.378,92.423,96.218,101.523
33.205,46.121,55.036,64.219,73.097,75.961,81.405,92.48,96.278,101.562
33.203,46.141,55.018,64.182,73.118,75.971,81.452,92.551,96.298,101.613
33.204,46.136,55.01,64.214,73.1,75.969,81.396,92.508,96.36500000000001,101.738
33.203,46.16,55.027,64.21,73.111,75.973,81.379,92.55,96.337,101.608
33.22,46.161,55.048,64.228,73.096,75.968,81.381,92.536,96.357,101.631
33.236,46.174,55.044,64.224,73.025,75.955,81.392,92.527,96.432,101.637
33.251,46.176,55.031,64.255,73.022,75.999,81.402,92.534,96.387,101.66
33.236,46.186,55.044,64.281,72.987,76.056,81.427,92.564,96.41,101.522
33.246,46.192,55.056,64.264,73.027,76.074,81.463,92.575,96.391,101.506
33.26,46.191,55.029,64.298,73.053,76.062,81.505,92.561,96.391,101.506
33.243,46.184,55.043,64.267,73.035,76.009,81.48,92.577,96.389,101.447
33.247,46.199,55.041,64.248,73.054,76.048,81.458,92.574,96.399,101.44
33.266,46.214,55.066,64.266,73.052,76.041,81.427,92.542,96.444,101.433
33.279,46.213,55.049,64.221,73.091,76.048,81.369,92.558,96.427,101.431
33.291,46.209,55.088,64.172,73.125,76.043,81.371,92.647,96.431,101.464
33.303,46.205,55.125,64.198,73.105,76.126,81.365,92.732,96.485,101.52
33.316,46.211,55.118,64.279,73.139,76.167,81.458,92.748,96.493,101.609
33.309,46.19,55.101,64.268,73.155,76.159,81.501,92.808,96.492,101.574
33.307,46.21,55.121,64.307,73.139,76.149,81.508,92.82,96.579,101.576
33.291,46.209,55.125,64.321,73.133,76.199,81.489,92.82,96.571,101.637
33.302,46.208,55.108,64.32,73.124,76.187,81.428,92.787,96.585,101.702
33.298,46.222,55.128,64.301,73.183,76.141,81.384,92.787,96.607,101.673
33.306,46.215,55.124,64.284,73.177,76.124,81.33,92.783,96.568,101.627
33.309,46.231,55.108,64.276,73.155,76.152,81.321,92.752,96.532,101.67
33.305,46.221,55.105,64.234,73.178,76.16,81.388,92.728,96.503,101.662
33.312,46.238,55.117,64.189,73.175,76.21,81.423,92.771,96.531,101.645
